Student_ID,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade
STUDENT1,19,Male,Other,50%,Yes,0,Private,0,Always,1,1,0,0,4
STUDENT2,22,Male,Other,50%,Yes,0,Private,0,Always,1,0,1,1,4
STUDENT3,19,Male,State,50%,No,0,Private,2,Never,0,0,0,1,4
STUDENT4,18,Female,Private,50%,Yes,0,Bus,2,Always,0,1,0,0,4
STUDENT5,20,Male,Private,50%,No,0,Bus,12,Always,1,0,1,1,4
STUDENT6,21,Male,State,50%,No,0,Private,2,Always,1,0,1,1,3.5
STUDENT7,18,Male,State,75%,No,0,Private,0,Always,0,1,1,1,2
STUDENT8,20,Female,State,50%,Yes,1,Bus,2,Sometimes,0,1,1,1,3.5
STUDENT9,20,Female,Other,50%,No,1,Bus,0,Always,0,0,0,1,2
STUDENT10,20,Female,State,50%,No,0,Bus,12,Never,0,1,0,0,0
STUDENT11,18,Female,Private,50%,No,0,Private,12,Sometimes,0,0,0,1,3.5
STUDENT12,18,Female,Private,75%,Yes,1,Private,8,Sometimes,0,1,0,1,0
STUDENT13,18,Female,Private,75%,No,0,Private,0,Always,1,0,0,0,0
STUDENT14,22,Female,State,100%,No,0,Private,0,Always,1,0,0,1,4
STUDENT15,22,Male,State,75%,Yes,1,Private,12,Never,0,0,1,1,3.5
STUDENT16,20,Male,State,50%,No,0,Private,0,Always,0,1,0,1,3.5
STUDENT17,18,Female,State,100%,No,1,Private,0,Always,1,0,0,0,4
STUDENT18,21,Male,State,50%,No,0,Private,0,Always,1,0,0,1,3.5
STUDENT19,18,Female,State,75%,No,0,Private,12,Always,1,0,0,0,3.5
STUDENT20,18,Male,Private,50%,No,0,Bus,2,Sometimes,0,0,1,0,3
STUDENT21,18,Male,State,100%,Yes,0,Bus,0,Never,0,0,1,0,4
STUDENT22,18,Male,State,100%,No,0,Bus,0,Never,0,0,0,0,4
STUDENT23,21,Male,State,50%,Yes,0,Bus,0,Always,1,1,1,0,3
STUDENT24,22,Male,State,25%,Yes,1,Private,12,Always,1,1,0,0,4
STUDENT25,20,Male,State,50%,No,0,Private,2,Always,1,0,1,0,3.5
STUDENT26,19,Male,State,50%,No,0,Bus,0,Always,0,1,0,0,3
STUDENT27,18,Male,State,50%,No,1,Bus,0,Always,1,1,0,0,4
STUDENT28,18,Male,Private,50%,Yes,0,Private,0,Always,1,1,1,0,4
STUDENT29,23,Male,State,50%,No,0,Bus,0,Never,0,0,0,0,3
STUDENT30,22,Male,Other,75%,No,0,Private,0,Never,0,0,1,1,2
STUDENT31,21,Male,State,100%,Yes,1,Bus,0,Always,0,1,1,0,2
STUDENT32,24,Male,State,50%,Yes,0,Private,0,Always,0,1,0,0,3
STUDENT33,21,Female,State,50%,No,0,Private,2,Always,1,0,0,1,4
STUDENT34,20,Female,State,50%,Yes,0,Bus,0,Always,1,1,0,0,3.5
STUDENT35,18,Male,Private,50%,No,0,Bus,2,Always,1,0,1,0,3.5
STUDENT36,18,Male,Private,75%,No,0,Private,12,Always,1,1,0,0,4
STUDENT37,20,Male,Other,75%,Yes,0,Bus,12,Always,1,1,1,1,3.5
STUDENT38,21,Male,State,50%,Yes,1,Bus,2,Sometimes,0,0,1,1,4
STUDENT39,22,Male,State,100%,No,0,Private,0,Always,1,0,1,1,3.5
STUDENT40,19,Female,State,50%,No,0,Bus,0,Always,0,1,1,1,4
STUDENT41,18,Male,Private,50%,No,0,Private,2,Always,1,0,1,1,4
STUDENT42,24,Male,State,50%,Yes,0,Private,2,Always,0,1,0,1,4
STUDENT43,20,Male,State,50%,No,1,Private,0,Never,0,1,0,1,4
STUDENT44,18,Male,State,50%,No,0,Bus,0,Always,1,0,1,0,2.5
STUDENT45,21,Male,Other,50%,No,0,Bus,0,Always,1,1,1,1,4
STUDENT46,18,Male,State,50%,No,0,Bus,8,Always,1,0,1,0,3
STUDENT47,22,Male,State,50%,No,0,Bus,0,Always,1,1,0,0,2
STUDENT48,19,Male,State,50%,No,0,Bus,0,Always,0,1,1,1,3
STUDENT49,18,Male,State,50%,No,1,Bus,0,Always,0,0,1,0,4
STUDENT50,18,Male,Private,75%,No,0,Private,2,Never,1,0,1,1,3.5
STUDENT51,19,Male,State,50%,No,0,Bus,2,Sometimes,1,1,1,1,4
STUDENT52,20,Female,Other,50%,Yes,1,Private,0,Always,1,1,0,0,2.5
STUDENT53,22,Female,State,50%,Yes,0,Private,2,Always,1,1,1,0,4
STUDENT54,19,Female,State,50%,No,1,Private,2,Always,1,1,1,0,2
STUDENT55,22,Male,State,50%,No,0,Private,12,Never,0,1,0,1,3
STUDENT56,23,Male,State,50%,Yes,0,Bus,8,Always,0,1,1,0,3
STUDENT57,22,Male,State,50%,No,1,Private,0,Always,1,1,1,0,2
STUDENT58,19,Male,State,50%,Yes,1,Private,0,Always,1,1,0,0,2.5
STUDENT59,23,Male,State,50%,No,0,Bus,12,Always,1,1,1,0,3
